State,Province,City,Date,Average_Value,Max_Value_of_the_Day,Hour_of_Max_Value ,Pollutant_AQI,Pollutant_Type
ST00,COT102,CT126,2011-01-29,34.043478,38.04,22,37,A
ST00,COT102,CT126,2011-02-10,25.217391,35.87,7,36,A
ST00,COT102,CT126,2011-06-03,13.5,37.7,22,39,A
ST00,COT102,CT126,2011-09-18,10.695652,22.32,19,22,A
ST00,COT102,CT126,2012-02-08,39.25,53.42,8,54,A
ST00,COT102,CT126,2012-02-28,15.086957,30.44,20,30,A
ST00,COT102,CT126,2012-04-25,10.772727,36.33,7,35,A
ST00,COT102,CT126,2012-06-09,4.375,10.7,4,10,A
ST00,COT102,CT126,2012-08-28,13.416667,30.89,6,30,A
ST00,COT102,CT126,2012-12-15,21.583333,33.5,17,33,A
ST00,COT102,CT126,2013-05-04,7.041667,21.9,5,23,A
ST00,COT102,CT126,2013-06-10,9.375,25.13,20,25,A
ST00,COT102,CT126,2013-06-27,13.958333,30.11,8,30,A
ST00,COT102,CT126,2013-07-25,9.666667,25.94,7,25,A
ST00,COT102,CT126,2014-03-24,19.291667,36,6,37,A
ST00,COT102,CT126,2014-10-27,15.125,31.66,6,32,A
ST00,COT55,CT03,2012-04-22,0.9625,2.95,19,3,A
ST00,COT55,CT03,2012-04-27,0.5,0.74,19,0,A
ST01,COT75,CT03,2011-04-14,1.652174,5.93,16,6,A
ST01,COT75,CT03,2011-04-30,1.833333,6.93,6,7,A
ST01,COT75,CT03,2011-05-16,2.304348,6.86,5,7,A
ST01,COT75,CT03,2011-09-27,3.25,10.19,6,10,A
ST01,COT75,CT03,2012-01-10,3.5,12.53,7,12,A
ST01,COT75,CT03,2012-03-25,1,1.83,15,2,A
ST01,COT75,CT03,2012-04-05,3.521739,9.51,7,9,A
ST01,COT75,CT03,2012-04-22,1.25,2.93,18,3,A
ST01,COT75,CT03,2012-11-20,2.434783,8.51,6,8,A
ST01,COT75,CT03,2013-06-24,1.636364,5.83,7,6,A
